Geo Point;Geo Shape;codeunique;nom_long;nom_so_gar;nom_su_gar;id_ref_ZdC;nom_ZdC;id_ref_ZdA;nom_ZdA;idrefliga;idrefligc;res_com;mode_;train;rer;metro;tramway;val;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y
48.86644680513255, 2.3835991095736566;"{""coordinates"": [2.383599109573657, 48.86644680513255], ""type"": ""Point""}";102043;Ménilmontant;;;71815;Ménilmontant;44133;Ménilmontant;A01535;C01372;METRO 2;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;654781.3662;6863111.7042
48.869798555526245, 2.285335094686168;"{""coordinates"": [2.285335094686168, 48.869798555526245], ""type"": ""Point""}";102079;Victor Hugo;;;71315;Victor Hugo;45020;Victor Hugo;A01535;C01372;METRO 2;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;647576.3599;6863545.1478
48.86229941188523, 2.441521809411031;"{""coordinates"": [2.441521809411031, 48.86229941188523], ""type"": ""Point""}";109093;Mairie de Montreuil;;;71785;Mairie de Montreuil;44052;Mairie de Montreuil;A01542;C01379;METRO 9;METRO;0;0;1;0;0;0;0;1;0;0;RATP;1;0;659027.1889;6862618.9315
48.855196323880406, 2.3258155665115288;"{""coordinates"": [2.325815566511529, 48.855196323880406], ""type"": ""Point""}";112055;Rue du Bac;;;71227;Rue du Bac;58717;Rue du Bac;A01545;C01382;METRO 12;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;650531.8333;6861895.3889
48.82258370771768, 2.2984641946702635;"{""coordinates"": [2.298464194670264, 48.82258370771768], ""type"": ""Point""}";114037;Malakoff - Plateau de Vanves;;;73766;Malakoff - Plateau De Vanves;413433;Malakoff - Plateau De Vanves;A01546;C01383;METRO 13;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;648492.7657;6858286.7119
48.88027195609515, 2.398468172268172;"{""coordinates"": [2.398468172268172, 48.88027195609515], ""type"": ""Point""}";117029;Pré Saint-Gervais;;;71911;Pré Saint-Gervais;45617;Pré Saint-Gervais;A01550;C01387;METRO 7bis;METRO;0;0;1;0;0;0;0;1;0;0;RATP;1;0;655883.8374;6864640.5585
48.88796756081547, 2.3734568878525493;"{""coordinates"": [2.373456887852549, 48.88796756081547], ""type"": ""Point""}";107037;Riquet;;;71977;Riquet;44643;Riquet;A01540;C01377;METRO 7;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;654056.345;6865510.53
48.87146657719322, 2.277083017052586;"{""coordinates"": [2.277083017052586, 48.87146657719322], ""type"": ""Point""}";102081;Porte Dauphine;;;474152;Porte Dauphine;44509;Porte Dauphine;A01535;C01372;METRO 2;METRO;0;0;1;0;0;0;0;1;0;0;RATP;1;0;646972.7506;6863736.1283
48.88289191651976, 2.3090522645504783;"{""coordinates"": [2.309052264550478, 48.88289191651976], ""type"": ""Point""}";103069;Malesherbes;;;71416;Malesherbes;59370;Malesherbes;A01536;C01373;METRO 3;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;649328.8075;6864985.5498
48.84648464963565, 2.3659101068529798;"{""coordinates"": [2.36591010685298, 48.84648464963565], ""type"": ""Point""}";105073;Quai de la Rapée;;;71637;Quai de la Rapée;44583;Quai de la Rapée;A01538;C01375;METRO 5;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;653465.9193;6860902.359
48.84520470173898, 2.266441540369507;"{""coordinates"": [2.266441540369507, 48.84520470173898], ""type"": ""Point""}";110037;Chardon Lagache;;;71141;Chardon Lagache;42543;Chardon Lagache;A01543;C01380;METRO 10;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;646165.0735;6860823.259
48.8530167660758, 2.3355020503762596;"{""coordinates"": [2.33550205037626, 48.8530167660758], ""type"": ""Point""}";110057;Mabillon;;;73639;Mabillon;59379;Mabillon;A01543;C01380;METRO 10;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;651240.521;6861647.0173
48.82430937015939, 2.273665557499754;"{""coordinates"": [2.273665557499754, 48.82430937015939], ""type"": ""Point""}";112031;Mairie d'Issy;;;70671;Mairie d'Issy;44050;Mairie d'Issy;A01545;C01382;METRO 12;METRO;0;0;1;0;0;0;0;1;0;0;RATP;1;0;646673.8484;6858495.0452
48.838734857902175, 2.2821433781708906;"{""coordinates"": [2.282143378170891, 48.838734857902175], ""type"": ""Point""}";108021;Lourmel;;;71086;Lourmel;45363;Lourmel;A01541;C01378;METRO 8;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;647310.8393;6860093.2932
48.87844429946005, 2.3619653022299594;"{""coordinates"": [2.361965302229959, 48.87844429946005], ""type"": ""Point""}";107043;Château-Landon;;;71359;Château Landon;470519;Gare de l'Est;A01540;C01377;METRO 7;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;653205.1424;6864458.3475
